Code       ,Name       ,SubText       ,Description                                                                                                                 ,Invite                             ,ImageAlt   ,Notion                                                                          ,Github
minesweeper,Minesweeper,Boom.         ,Minesweeper is a Discord bot that allows you to play a highly customised game of Minesweeper. You can even add custom mines!,https://discord.com/oauth/authorize,Minesweeper,https://www.notion.so/discord-plays/Minesweeper-c0131eb283934469a0961e0bc66458d4,https://github.com/discord-plays/minesweeper
caravan    ,Caravan    ,TODO          ,TODO                                                                                                                        ,https://discord.com/oauth/authorize,Caravan    ,https://www.notion.so/discord-plays/Caravan-0895342093df4ddd8618c79f6bf9c7e2    ,https://github.com/discord-plays/caravan
